content,Label Asli,Prediksi
Bnyk promo dan driver nya jujur dan rapi,Positif,Positif
Puas,Positif,Positif
Pasti ada jalan mantap dh pakai gojeg ga ada mati nya,Positif,Positif
Gak akan pakai gojek lagi selamanya sih kecewa berat,Negatif,Negatif
sipppp ,Positif,Positif
kelebihanya pilihan menu di go food banyak dari kompetitor tapi diskon masi kalah jatuhnya klo pesen dengan menu sama masi murah kompetitor Klo untuk go ride go car ya mesti da plus minusnya Pi yg kerasa di layanan go food si menurut saya agak mahal,Positif,Positif
Baik2 aja,Positif,Positif
Ngebug,Negatif,Negatif
Saya top up 10K  3x yg masuk saldo cuman 10K doang  gmn ini saldo saya  duit ilang  saldo cmn ke isi 1x,Positif,Negatif
Bagus pelayanannya,Positif,Positif
Mantap,Positif,Positif
Kasih harga murah terus yaaaa,Positif,Positif
Istimewa,Positif,Positif
Akhir2 ini suka ngehang tbtb freeze Trus pas lagi order blm fix masih lihat2 bisa2 nya ga pencet order fix tp pesen2 sendiri Parah sih,Negatif,Negatif
Aplikasi makin ngaur,Negatif,Negatif
Good,Positif,Positif
Sekarang kalo mau checkout susah loading lama Internet kenceng dibilang ga ada koneksi,Positif,Negatif
Best,Positif,Positif
Ok,Positif,Positif
Wa,Negatif,Positif
Mantap pokoknya,Positif,Positif
Ok,Positif,Positif
Vocer yang biasanya bisa dipakai bersamaan beberapa bulan ini hanya bs digunakan satu2 setiap cekout Jadi percuma beli vocer atau dapat kiriman promo atau tawaran diskon Ujung2nya ngangguur Sudah info juga di menu bantuan pd aplikasi No solusi,Negatif,Negatif
Pelayanan baik dan menyenangkan,Positif,Positif
Payah lagi urgent transfer malah di pending Uang nya di pake dulu kali ia,Negatif,Negatif
Cepat penjemputanya,Positif,Positif
laporan atas kendala tidak membantu,Negatif,Positif
keren ada cerita horornya,Negatif,Positif
Harusnya gojek ada batasan umur utk drivernya Paling tua 50 Gw tadi dapet kayanya udh 60an Dia serem banget nanya2 ga jelas jg dan hrsnya gojek ngecek drivernya punya kendaraan yg memadai atau engga motor yg tadi gw pake tuh parah banget Gw ga sekali dua kali dpt driver aneh Bahkan pernah di lecehin sm driver lain jg waktu itu pulang sklh dia sengaja remnya dadakan mulu dan duduknya mundur2 pdhl gw udh mau jatuh Gw takut tau tp gw ttp pake gojek krn gw ga boleh bawa motor sendiri sm ortu,Negatif,Negatif
good,Positif,Positif
Sangat membantu bangettt,Positif,Positif
Seharus nya pihak Gojek jangan di permasalahkan Beda plat nomor Kasihan Driver ketakutan kenapa tiba2 aplikasi Saya di blokir gak jelas,Negatif,Negatif
Mantap,Positif,Positif
Ok,Positif,Positif
info untuk gojek akun virtual saya di retas saya barusan dapat telepon mengatas namakan admin gojek dan mengiming imingi hadiah saya di suruh isi saldo ke akun saya 300 ribu dan belum ada 5 menit saldo saya hilang sisa 400 ribu Tolong untuk keamanan akun virtualnya ditingkatkan lagi,Negatif,Negatif
Aplimasi gojek sangat membantu,Positif,Positif
Sangat memudahkan dalam segala hal,Positif,Positif
Untuk masalah lokasinya saya domisili mojokerto tapi resto yg keluar di wilayah jombang smua Dari resto trdekat sampe hasil pencarian nya gimana ini masak mau beli makanan harga 15k tapi ongkirnya 60k Tolong d perbaiki TOLONG DI RESPON SECEPATNYA,Negatif,Negatif
Ok,Positif,Positif
Kerenudah bertahun2 make apk ini Mau beralih tapi gak bisa udah enak disini apalagi sering dapet voucherdiskon Versi sebelumnya sempat kecewa karna susah dapet driver dan ngelacaknya tapi Yg versi skrg udah mantap bgt pertahankan ya Gojek,Positif,Negatif
selalu ada perbaikan,Positif,Positif
Ok,Positif,Positif
gojek good,Positif,Positif
Supirnya baik mau anterin barang bawaan sy krn gangnya ditutup dianterin barang2 Sy kedepan rmh,Positif,Positif
Sangat membantu,Positif,Positif
Maaf penilaian saya ganti Sangat jelek dalam pemilihan driver padahal banyak driver nganggur yang dekat malah dpt driver yg posisinya jauh yg akhirnya harus nunggu lama drivernya,Negatif,Negatif
Mantap aplikasi nya,Positif,Positif
Sangat cocok untuk yg blm hafal Jakarta,Positif,Positif
Manyus,Positif,Positif
Kenapa setelah update versi terbaru malah sering keluar terus engga bisa masuk Cape bngt dah mau transaksi engga bisa,Negatif,Negatif
Pin yg saya masukan udh benar tapi kok ga bisa yah,Negatif,Negatif
Ok,Positif,Positif
Hi Admin Gojek saya ada kendala dalam pembayaran Top Up Saldo BNI Tap Cash saldo Gopay saya terpotong tapi saldo di BNI Tap Cash saya belum terisi tolong di tindak lanjuti dong saya sudah kirim laporan tapi belum diberikan solusi saya coba hubungi Call Center GojekGopay tetapi di Aplikasi tidak tertera Nomor yg bisa di Hubungi Ini kalian dari Pihak GojekGopay takut mendengar komplain Cuatomer secara Lisan atau bagaimana ,Negatif,Negatif
tidak mengecewakan,Positif,Negatif
Bsgus pelayanannyacepat sampai,Positif,Positif
Bagussangat membantu,Positif,Positif
Ok,Positif,Positif
Makin lama makin mahal ini apk mengecewakan,Negatif,Negatif
Pesan gocar XL kapasitas 6 orang yang datang gocar biasa kapasitas 4 orang Aplikasi menyebalkan Klo ga kepepet males pakai gojek,Negatif,Negatif
dulu saya bangga bangga in gojek karena bisa buat bayar apa aja tapi kenapa sekarang udh ga ada layanan GOTIX sih,Negatif,Negatif
Terbaik mudah dih pahami mksih apliksih nyh jadi GK ribet keluar rumah GK perlu Repot ngarepin orang yg GK cinta cuman Gojek yg di hati Bangtt ,Positif,Positif
Gojeg sangat membantu saya,Positif,Positif
Trash,Negatif,Positif
Apk sering berhenti sendiri,Negatif,Negatif
Khusus di kota jambi Kalian kadang nga punya rasa kasihan setiap mesan gofood maupun goride selalu dapat driver yang jauh Kasian bapak driver nya jauh2 jemput pesanan Tolong lah diperbaiki setidaknya kasih ke driver terdekat Jangan untung kalian aja yang kalian pikirkan sementara keluhan mereka dilapangan kalian abaikan,Negatif,Negatif
Sangat luar biasa,Positif,Positif
Ini kenapa ya apk nya di update gak bisa Gak di pakek harus update trs giliran di update gak bisa Gimana ya,Netral,Negatif
Kenapa ya saya kan ganti hptetap email yang sama terus saya download lgi aplksi gojek pas untuk refikasi no kirim link tapi link nya gak bisa kebukatolong info perbaiki ini karna saya udah berlanggan gojek udah lebih 2 tahun,Positif,Negatif
Bagus,Positif,Positif
driver sopan dan komunikatif,Positif,Positif
Mantap,Positif,Positif
Aplikasi banyak masalah Mending hapus dr google playstore klo begini,Negatif,Negatif
pelayanan yg cepat dan baik,Positif,Positif
Awesome,Positif,Positif
SAYA TOP UP GOPAY KENAPA GA MASUK MASUK YA HADEHHHHHHH,Negatif,Negatif
Selalu puas pakai GoJek kemudahan dan kenyamanan semoga selalu diutamakan,Positif,Positif
baik,Positif,Positif
Muantappppp,Positif,Positif
Good,Positif,Positif
gocarnya lama masuk,Negatif,Negatif
bungul gak bisa di buka apk nya,Negatif,Negatif
Kenapa driver selalu jauh dr posisi pesanan jadi lama menunggu,Netral,Negatif
Sya masih kurang paham,Positif,Negatif
Uda langganan go jek Membantu banget apalagi spt sy yg sibuk Kadang ketemu kang ojek yg kurang sopan tp sering dapat kang ojek yg baik Jd so far bagus go jek Makin ditingkatkan lg pelayananannya  Thanks go jek,Positif,Positif
Sangat membantu Sekali,Positif,Positif
gojek sangat membantu untuk masarakat,Positif,Positif
Alhamdulillah Sangat membantu sy jika sdg malas keluar utk beli makanan,Positif,Positif
Aman nyaman,Positif,Positif
bagus keluhan pemesan gojek kepada driver di tanggapi,Positif,Positif
Sangat bermanfaat,Positif,Positif
kok saya top up gopay nggak masuk min,Negatif,Negatif
Bagus Okelah pokoknya,Positif,Positif
Repot banget harus pake pay later buat dapet promo ini nyuruh masyarakat berlomba lomba ngutang apa gimana,Negatif,Negatif
Good,Positif,Positif
Good app,Positif,Positif
Tolong untuk laporan itu bsa di tutup dong saya mau buat laporan tidak bisa,Netral,Negatif
Gojek sangat membantu,Positif,Positif
Mantap ,Positif,Positif
Tetap jd kebutuhan apapun dan siapapun good job,Positif,Positif
Tolong diseleksi ketat harus yang lebih sabar dan ramah buat seluruh driver gojek maupun gocar nyaseperti grab,Positif,Positif
Biasanya pakai 2 vocer bisa sekrng np gk bisa mna sdh beli langganan buat diskon ongkos krim Se engaknya di kasih tau dlu bos ,Negatif,Negatif
Gak ribet,Positif,Negatif
Aplikasi yg sangat membantu,Positif,Positif
Ayoo banyakin diskonnyaa lagii,Positif,Positif
sangat sulit mendapatkan driver sudah mengulang 10kali tapi masih tidak mendaptkan driver,Negatif,Negatif
Sangat membantu,Positif,Positif
Good,Positif,Positif
Sukaaaa,Positif,Positif
Tolong segera diperbaiki applikasi Gojek nya Masa buat tranferbayar gak bisa Mau sampai kapan begini terus Jangan Dipersulit lah Bisa2 customer pindah ke Applikasi sebelah,Negatif,Negatif
Good,Positif,Positif
Gojek spam kontak musingin,Netral,Negatif
Pengemudinya malas semua,Negatif,Positif
Sering2 masih promo soalnya anak kos terimakasih  layanan yg sangat bagus dan sangat membantu,Positif,Positif
Aplikasi sangat berguna,Positif,Positif
Ok,Positif,Positif
Kenapa saya ga pernah dpt vocer gofood lg kesel mnding pindah k grabfood dan shopee food ajalah,Negatif,Negatif
Sudah mengalami perbaikan Perlu ditambah lagi promo nya,Positif,Positif
Amazingggg,Positif,Positif
Aman cepat jos,Positif,Positif
Good,Positif,Positif
Sangat membantu,Positif,Positif
Terimkasih gojegselalu memberi kenyamanan kepada kamipoke GK sisa deh pke plkasi gojek,Positif,Positif
Gojek memang terbaik,Positif,Positif
Gopay saya d blokir tiba2saldo masih 250kkirim laporan dan banding Respon cs sangat burukyang jawab laporan cuma bottidak ada penjelasan dan keterangan yg jelas yg d butuhkan customer Percuma kirim laporan dan bantuan d gojek yg balas cuma bottidak ada jawaban yang dpt membantu dan bisa d mengerticuma balasan copy paste yg selalu dikirim,Negatif,Negatif
ramah,Positif,Positif
Good good good,Positif,Positif
BaikAman dan cepat mengatar penumpang,Positif,Positif
Sangat membantu,Positif,Positif
Cepat ramah aman dlm pengiriman paket tdk rusak,Positif,Positif
Sangat membantu,Positif,Positif
Anjai mabar,Negatif,Positif
Bagus,Positif,Positif
Sejauh ini aplikasinya bagus belum mengalami kendala,Positif,Positif
In sya Allaah jangan sampai mendapat pengalaman buruk selama pake GoCar atau GoJek,Positif,Negatif
Apk gojek skrang kaga jelas bgt apa Mahal,Negatif,Negatif
Aplikasinya sudah bagus Tolong ditambah tempat top up saldo gopay dong Alfamart sering gangguan kata kasirnya Sementara gojek belum masuk ke kota kami Gopaynya yang saya pakai buat belanja di Tokopedia,Positif,Negatif
Niceee,Positif,Positif
Tolong tambah fitur chat ke resto untuk bertanya memastikan pesanan Dan permudah untuk memberi rating ke restonya sama mudahnya seperti memberi rating ke driver,Positif,Negatif
Penyelamat hidup  tambahin promo nya dong min hihi,Positif,Positif
Ok,Positif,Positif
Gopay later nya udah gx bisa di pake,Negatif,Negatif
Good,Positif,Positif
terima kasih banyak,Positif,Positif
Gojek ok dan cepat tq,Positif,Positif
Sangat membantu sekali,Positif,Positif
konsumen food sudah banyak beralih ke shopee goride ke indrevergojek sekarng liat drivernya juga pada main slotkarena sepi orderan dan ga bisa bawa pulang duit susah buat kasih makan keluarga juga bohong kalau bilang gojek baik baik saja sytem sekarang membagongkan konsumen dan driver,Negatif,Negatif
Suka bettt,Positif,Positif
Ok,Positif,Positif
saya sangat puas menggunakan aplikasi gojek saat ini,Positif,Positif
Ampun mahal nya sekarang,Negatif,Negatif
Ok,Positif,Positif
Verifikasi pin untuk mengganti nomer lama ke nomer yg baru kok lama banget Mohon di percepat,Negatif,Negatif
Terima kasih gojek bnr2 sangat nyaman pke gojek,Positif,Positif
Sangat membantu dalam segala hal,Positif,Positif
Sumpah ya dari awal gue make gojek sampe sekarang makin lama makin nurun aja kualitas nyasetiap mau kasih rating ke driver server padat merayap Mulu tulisannyaterus makin lama ongkir nya makin mahalmakin kesini makin mahallama2 gue uninstall juga ni aplikasibiaya gojek nya itu Lo bikin kantong keringharga dari resto nya sama yang di gojek jauh banget bedanyamakin lama makin ngga bagus aja aplikasi nyatolong dong minimun belanjaan buat voucher nya juga kemahalantolong ya owner diliat nih,Negatif,Negatif
Saya sering pesan gocar  gojek  tapi kok sekarang selalu mengambil posisi driver yang sangat sangat sangat jauh padahal yang dekat banyak,Negatif,Negatif
Ok,Positif,Positif
Sangat membantu nice,Positif,Positif
Baik,Positif,Positif
Is the best,Positif,Positif
Tolong gopaylater saya di munculkan,Positif,Negatif
simple,Positif,Positif
Aplikasi ini bagus,Positif,Positif
Sangat membatu ,Positif,Positif
Sukses terus,Positif,Positif
Baik,Positif,Positif
Ini aplikasi tidak upgrade malah downgrade Parah abis Mau daftar akun baru susahnya minta ampun padahal setiap pesanan gofood ada tambahan uang untuk gojek Tapi peforma tidak naik malah BUSUK dan sekarang pun setiap order go food susah sekali dapat driver entah drivernya pada bertingakah padahal domisili saya kota dan jumlah driver tidak bisa di hitung dg tangan sangat di sayangkan aplikasi kembagaan bangsa jadi seperti ini,Negatif,Negatif
Slalu ada di setiap waktu,Positif,Positif
Tolong di perbaiki kenapa saat saya pesen makanan alamatnya ngubah sendiri padahal sebelum nya alamat udah benerr,Negatif,Negatif
Mantap,Positif,Positif
Mantap,Positif,Positif
Ulasan jelek resto uda thn lalu harusnya dihapus  Uda diperbaiki tetep ada ulasan cutemer yg lalu yg gk nggehhhhhhhhhhh Bikinkeseeellll,Positif,Negatif
Smgat membantu,Positif,Positif
Kasih bintang 3 dulu gopay later nya gk bisa di cicil sebelum jatoh tempo biaya bulanan kan mahal juga,Netral,Netral
lagi butuhnya malah gabisa di pake gopaylater,Negatif,Negatif
Abang nya ramah,Positif,Positif
Gofood sgt praktis  menyenangkan,Positif,Positif
Saya turunkan bintangnyasemakin kesini semakin kurang memuaskanpunya gopaylater tapi ga bisa digunakan alasannya tidak bisa digunakan oleh akun padahal sebelumnya lancar2 sajabaru mulai awal bulan ini tidak bisa digunakangopaypinjam juga begitu awal bisa pinjam habis gitu ga bisa pinjam lagi dengan alasan pengajuan sebelumnya ditolak padahal pengajuan sebelumnya ACC,Negatif,Negatif
Sangat Praktis dan Membantu Terimakasih Gojek,Positif,Positif
Terimakasih,Positif,Positif
Good Applications,Positif,Positif
Tagihan sudah di bayar tp gopaylater masih di blokir Macam mana 2 bulan msh ngga jelas,Negatif,Negatif
Sangat membantu,Negatif,Positif
Suka banget sama aplikasi ini,Positif,Positif
Good apss,Positif,Positif
ok,Positif,Positif
Cepatt dan sangat membantu yg emak emak mager,Positif,Positif
Lah pegimna ini sistem pembagian orderan nyamasa udh 1 Minggu orderan nya jarang banget jeda nya bahkan sampe 4 jam blum di kasih lagi,Negatif,Negatif
Ok,Positif,Positif
Min saldo saya kok tiba di transfer ke youngjoy padahal saya tidak mengetahui hal tersebut uang saya bisa di kembali kan tidak,Negatif,Negatif
Mntap,Positif,Positif
makin di update makin g bisa berfungsi BAGUS TINGKATKAN TERUS YA KERUSAKANNYA,Negatif,Negatif
Driver skrng jauh2 dari tempat pemesan padahal dekat tempat keramaian susah kalo mau pesan gocar,Negatif,Negatif
mantap lah,Positif,Positif
Sangat malas dengan adanya biaya aplikasi trs biaya pemesananga kya dlu gojek sekarang terlalu memeras,Negatif,Negatif
Skrg lebih parah lgi bli pulsa data dibatalkan sepihak uang nya GK balik lgi Gilaaaa bgtt gojek ,Negatif,Negatif
Goooooood app,Positif,Positif
Sangat membantu klw lagi mau pergi tanpa harus nunggu di pinggir jalan Tinggal duduk manis di dalam rumah,Positif,Positif
Semakin kesini semakin mahal harganya jika gofood sudah promo nya sangat langka sekarang udh ngk kyk dlu lgi sungguh kecewa,Negatif,Negatif
gud aplication,Positif,Positif
Jakarta rabu 13juli 2022 dimana saya kerja di kosan jakarta dan kebingungan untung ada aplikasi ini jadi aga ga ribet,Positif,Negatif
Baru daftar gojek udah keluar nana ucil gk jelas gojek padahal no lom pernah di daftar,Negatif,Negatif
Sangat membantu,Positif,Positif
Terimakasih,Positif,Positif
Sangat membantu,Positif,Positif
Mantapsukses selaludan tetap eksis,Positif,Positif
Gjls asu gw top up 100k mau beli barang malah gagal transaksi mulu gakjelas,Negatif,Negatif
Ongkir udah mahal kok di tambah biaya aplikasilama2 pindah aplikasi sebelah,Negatif,Negatif
Terimakasih sangat membantu,Positif,Positif
Ok banget ,Positif,Positif
Sip tp promonya sering hangus bos,Positif,Positif
Pelayanan nya bgus kok,Netral,Positif
bagus apknya,Positif,Positif
oke,Positif,Positif
Selalu puas dengan pelayanan gojek,Positif,Positif
Top bgt dah ,Positif,Positif
Memuaskan Udah itu saja,Positif,Positif
Mntap,Positif,Positif
Metode pembayaran tolong di permudahkan cma itu doang klo di permudah kan aku kasih bintang full,Negatif,Negatif
1,Positif,Negatif
Karena penyalah gunaan promoalibi klo gak mau ngasih promo mending gak usah di jawab boz ente ini kadang salah faham  Itu aja,Negatif,Negatif
Aplikasi gak jelas Mau login ke HP baru Tiba2 gk bisa masuk lagi Kalau kayak gini terus Kalian akan hancur perlahan lahan,Negatif,Negatif
suka sih gampang buat order apa aja tpi tolong untuk update ke gopay plus haruse cepat knp sampe sekarang masih dalam proses lama banget,Positif,Negatif
Sangat membantu sekali,Positif,Positif
Ok mantul,Positif,Positif
wonderfull,Positif,Positif
uk Android Chrome memberikan artikel berita yang dipersonalisasi link cepat ke situs favorit dan hasil download seuuerta telah11unun dilengkapi dengan Google Penelusuran dan Google Terjemahan Semua nnnnunnnrbahaya atau mendownload file berbahaya Google Safe Browsing Fitur ini menjaga keamanan po,Positif,Positif
Mantul,Positif,Positif
Akun gojek saya tidak bisa di buka Dengan keterangan  gojek tidak menanggapi anda ingin keluar dari aplikasi Bagaimana ini gojek Kenapa trouble sudah 3 hari ini Apa solusinya Karena saya masih punya saldo gopay juga Dan selama ini sering pakai go car dan go food Saya tunggu tanggapan nya dan solusi nya,Negatif,Negatif
Kecewa,Negatif,Negatif
Ora puas,Negatif,Positif
Akun gojek saya ter blokir bgaimna saya bisa memperbaiki,Positif,Negatif
Semoga membantu kami,Positif,Positif
Oke,Positif,Positif
Sangat buruk mau pesan malah ngga bisa selalu terulang,Negatif,Negatif
Cepat dan akurat,Positif,Positif
mantab,Positif,Positif
Aplikasi recomended  good,Positif,Positif
Ongkir nya mahal bngt plis lah woi padahal harga makannya murah tpi biaya ongkir Sama bungkus makanannya mahal bngt si mending beli langsung ke tempatnya,Negatif,Negatif
Bagus bgt aplikasinyafiturnya juga lengkap ngak rumit,Positif,Positif
Puas,Positif,Positif
Bagus slalu ramah sama pelanggannya,Positif,Positif
Pokonya sangat membantu sekali ,Positif,Positif
Good,Positif,Positif
Sangat membantu sekali,Positif,Positif
Transfer via scan dari gopay ke Dabis gamasukpas laporan disuruh 15hari dan csnya low respon banget,Negatif,Negatif
Ntapss,Positif,Positif
Abis dpt vc gomart diskon 50k auto bintang 5 deh makasih yaa sering kasih vc biar aku makin sayang hahaha,Positif,Positif
Ok,Positif,Positif
Mantappp,Positif,Positif
Sangat puas,Positif,Positif
Mantul aplikasi,Positif,Positif
Kenapa ya bisa beda harga antara aplikasi di saya sama diteman bedanya sampai 4000 bagi saya sih itu lumayan besar selisih nya sudah di update tetap saja sama,Negatif,Negatif
Siip,Positif,Positif
Suka banget saya sama gojek nyaman dan aman pokok nya btw cosplay jadi dilan om ,Positif,Positif
Mantap,Positif,Positif
Membantu dn memudhkan sya dlam bertransportasi,Positif,Positif
Sangat membantu,Positif,Positif
Kepada PT GM Indonesia tolonglah kapasitas terlalu besar aplikasinya memakan ruang atau memori yg bnyak  Banyak yang mengeluh kalau aplikasinya kebesaran dan berat di buka di hp ram 2 lemot sangat tolong diperhatikan kembali,Netral,Negatif
Saya setiap hari pakai gosend biar gak repot dan kita juga bantu rejeki kang ojol,Positif,Positif
Ok,Positif,Positif
Susah cari driver mahal pula,Netral,Negatif
Memudahkan,Positif,Positif
Bagus,Positif,Positif
Mantap,Positif,Positif
Solusi terbaik untuk mengirit waktu perjalanancepat tepat dan ramah,Positif,Positif
Menyenangkan drivernya baik2 ,Positif,Positif
Terbaik yhu,Positif,Positif
Gagal pin terus menerus,Netral,Negatif
Operasional baik,Positif,Positif
Mantap,Positif,Positif
Baik gojek,Positif,Positif
Good,Positif,Positif
Makin Ngadi nih apk  Mau kirim duit ke bank dari gopay aja gagal mulu Gila kali yah Apk lemot begini Sinyal gua bagus padahal streaming YouTube lancar jaya Kenapa buka gojek malah lemot,Negatif,Negatif
Ojek anak bangsa,Positif,Positif
Ok,Positif,Positif
Mantap,Positif,Positif
Semoga lbih baik lagi terimakasih gojek,Positif,Positif
Sangat mudah untuk digunakan,Positif,Positif
Oke,Positif,Positif
Jos,Positif,Positif
sangat lemot,Negatif,Positif
sangat bagus recomended,Positif,Positif
Baru deposit gopay tidak bisa di gunakan payah aplikasi apa ngga ada solusi dan tanggapan nya,Negatif,Negatif
Mantap,Positif,Positif
Selalu terlihat notifikasi gagal transaksi internet mati Padahal berhasil transaksi sehingga saya transaksi 3x lebih Gimana cara kembaliin dana saya,Negatif,Negatif
Senang banget dan tepat waktu,Positif,Positif
Saya kog gak bisa ya melakukan gosend dalam kota Setiap melakukan pengiriman barang selalu gagal,Negatif,Negatif
Sangat membantu perjalanan utk sampai d tujuan,Positif,Positif
Dua hari masa langsung jatoh tempoaneh,Negatif,Negatif
Malas ngetik dan ngegombalpokonya gojek terbaik ,Positif,Positif
Mantaaaaap gojek indonesia maju trus,Positif,Positif
Bayar liveon pake go pay gk bisa gimana sih,Negatif,Negatif
Emang skrng bisa ambil 2 orderan yg satu arah ya Jadi lama bgt nunggu orderan datang dan skrng jg saya ngerasa nambah lama nympeny entah itu 1 atau 2 orderan pdhl jaraknya deket gofood,Positif,Negatif
Mannttaaaapppp,Positif,Positif
Saya sangat kecewa kenapa setelah ada perintah untuk upgrad kemudian limid saya turun menjadi limid awal dulu padahal saya tidak pernah telat dan saya selalu bayar gimana cara untuk kembali seperti semula,Netral,Negatif
Seneng bgt sama apk gojek memudahkan untuk berpergian ,Positif,Positif
Aplikasi semakin kesini kok jadi sangat BURUK ,Negatif,Negatif
Mantap,Positif,Positif
Bermanfaat sekali,Positif,Positif
Tapi kalo di atas jam 615 rasanya susah cari driver,Positif,Negatif
2 kali pesan 2 kali juga dibatalin ,Negatif,Negatif
Baik bapak nya,Positif,Positif
Terbantu dengan aplikasi go jek,Positif,Positif
Semakin d depan dan pasti ada jalan,Positif,Positif
Ni iklan muncul terus di hp saya,Negatif,Negatif
Sangat membantu,Positif,Positif
Min tolong untuk masukan kode OTP pin Gopay kalau bisa kasih 2 pilihan Lewat no HP dan atau lewat email jadi kita bisa pilih salah satunya Kayak aku nomor yg terdaftar kan ilang tuh sampe kebingungan awalnya mau pakai aplikasi ini gara harus banget pake pin gopay Walaupun demi keamanan tapi tolong beri jalan buat yg nomor terdaftar aplikasinya ilang biar tetap bisa terima verifikasi kode otp,Positif,Negatif
Sangat membantu sekali,Positif,Positif
Skg gofood tdk bisa combo voucher Ga asyik ah jadi males belanja,Negatif,Negatif
payah susah upgrade ke pro,Positif,Negatif
Memudahkan tranportasi ku,Positif,Positif
Good job,Positif,Positif
Mantap mempermudah perjalanan,Positif,Positif
Gofood paling ok,Positif,Positif
Jos gandos kotos kotos,Positif,Positif
Sering error,Negatif,Negatif
Setelah di update ke versi terbaru aplikasi tidak bisa di bukaaplikasi yang aneh,Negatif,Negatif
Membantu di saat urgent,Positif,Positif
The best,Positif,Positif
Gojek kenapa ya pengirimannya jadi lama ga kaya dulu makanan sekarang pas dateng jadi dingin,Netral,Negatif
Bagus,Positif,Positif
lemot,Negatif,Negatif
Sangat Membantu,Positif,Positif
saya mendapat masalah sore ini di masalah go pay dan saya sedikit kecewa,Positif,Negatif
Keren,Positif,Positif
Nunggu terlalu lama,Positif,Negatif
Ok,Positif,Positif
Voucher enggak kepake dan hari selanjutnya hilang padahal exp 31 okt wkwkwk udah hubungi pesan bantuan tidak ada solusi kendalanya merugikan pengguna gopay apk banyak bug bayar pakai qris malah muncul internet mati apa eror lah scan lagi ternyata penbayaran double dan enggak ada solusi Penilaian akan saya ubah ketika saya mendapatkan keadilan terkait kendala saya Terima kasih,Negatif,Negatif
baik,Positif,Positif
good,Positif,Positif
Yes yes yes,Positif,Positif
Bagus,Positif,Positif
Aplikasi ini membantu saya,Positif,Positif
Driver nya gak niat nganterin saya nungguin aplikasi goride gak ada satu pun yang terima sayakalau gak mau ojek online sudah aja ojek pengkolanKECEWA saya,Negatif,Negatif
aplikasi gajelas,Negatif,Negatif
ya lanjut,Positif,Positif
Sangat membantu perjalanan kami trimakasih,Positif,Positif
Mantap,Positif,Positif
Kenapa susah verifikasi link tidak bisa dibuka terus,Negatif,Negatif
Semoga driver nya baik ramah kaya bapa yg td,Positif,Positif
Baik,Positif,Positif
Mntul,Positif,Positif
Mantap,Positif,Positif
Mau bayar gopaylater Menunya di klik blank Jadi gimana mau bayar Hub fitur bantuan ngga di balas Jadi gimana mau bayar,Negatif,Negatif
Saya mau komplen kenapa gojek saya di blokir ,Negatif,Negatif
sikap pengemudinya itu lhopokokne top top lah,Positif,Positif
Akun ku malah di blokir sudah lapor ke cs gada kelanjutannya padahal disana masih ada saldo saya,Netral,Negatif
Gojek Mantap Top,Positif,Positif
Gak usah update Mulu ya penuh memori handphone saya norak banget dikit2 update atau gak harusnya Gpp diupdate asalkan masih bisa digunain ini gak sama sekali lol,Negatif,Negatif
Luarbiasa,Positif,Positif
Ok,Positif,Positif
Mantaph,Positif,Positif
Ok,Positif,Positif
Gue heran gapernah dapet promo voucher apa apa jg gaada Sedangkan di hp nyokap dapet trs pilih kasih y Top up mulu pdhl buat jajajn sm jalan,Positif,Negatif
Urusan jadi lebih mudah,Positif,Positif
Good jobs,Positif,Positif
no coment cobain ajh sndiri aplikasinya,Positif,Positif
Dulu paling enak naik gojek karna banyak promonya tapi sekarang kalau mau pesen gojek hrs mikir mikir dulu soalnya promo gojek yg sekarang ada batasan kilometernya beda sama yg dulu trs juga sekarang udh gk bisa pesen goride pake gopayuang cash,Negatif,Negatif
pelayanannya sangat baik,Positif,Positif
Good,Positif,Positif
Semoga makin banyak promo,Positif,Positif
Banyak membantu saya dlm kegiatan sehari2,Positif,Positif
Oke,Positif,Positif
bagus apk nya,Positif,Positif
Thank,Positif,Positif
Sangat membantu fiturnya lengkap,Positif,Positif
Maaf baru kasih nilai  Pakai gopay karena terpaksa tokopedia  Hari gini transfer masi bayar,Negatif,Negatif
Sayang nya klo mau naek mbil ga di liatkan hrganyaa,Netral,Positif
gila banget gojek padahal gue tiap hari pakai gopay buat transaksi lewat tokped saya juga sering pakai gofood tapi gak pernah dapet voucher aneh banget dah,Negatif,Negatif
Ramah mau membantu saya krn kaki sakit,Positif,Positif
Msk cmn pnjam 200 rb gopay later aj byre bnyk bngt trus biaya aplikasi jg mhal gojek skrng jhat,Negatif,Negatif
Sippp,Positif,Positif
Usul agar daftar rekening transaksi ada pilihan dihapus,Positif,Negatif
Semoga jaya selalu,Positif,Positif
Baik ,Positif,Positif
fitur gotix udah ga ada kecewa,Negatif,Negatif
Alhamdulillah saldo yang tadinya hilang kini sudah kembali lagi terima kasih buat gopay gojek yang sudah membantu dan menyelesaikan permasalahan saya ini Semoga aplikasi ini bisa bermanfaat buat mereka yang membutuhkan,Positif,Positif
Mantap,Positif,Positif
bagus,Netral,Positif
Mantap gojek,Positif,Positif
Gk sesuai,Positif,Negatif
Mantap,Positif,Positif
Pelit ngasih voucher jalan,Negatif,Negatif
Penjemputan cepat,Positif,Positif
Transportasi aman,Positif,Positif
Pelayanan bgs n ramah bnget ,Positif,Positif
tau kan artinya satu bintang,Negatif,Negatif
